"LOCATION","Pays","SUBJECT","Sujet","MEASURE","Mesure","FREQUENCY","Fréquence","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgique","LREM64MA","Taux d'emploi, Agée de 15 à 64 ans, Hommes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q2","T2-2013","PC","Pourcentage","0","unité",,,66.94864,,
"BEL","Belgique","LREM64MA","Taux d'emploi, Agée de 15 à 64 ans, Hommes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q3","T3-2013","PC","Pourcentage","0","unité",,,66.39833,,
"BEL","Belgique","LREM64MA","Taux d'emploi, Agée de 15 à 64 ans, Hommes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q4","T4-2013","PC","Pourcentage","0","unité",,,65.89349,,
"BEL","Belgique","LREM64MA","Taux d'emploi, Agée de 15 à 64 ans, Hommes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q1","T1-2014","PC","Pourcentage","0","unité",,,66.20581,,
"BEL","Belgique","LREM64MA","Taux d'emploi, Agée de 15 à 64 ans, Hommes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q2","T2-2014","PC","Pourcentage","0","unité",,,65.41222,,
"BEL","Belgique","LREM64MA","Taux d'emploi, Agée de 15 à 64 ans, Hommes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q3","T3-2014","PC","Pourcentage","0","unité",,,65.6389,,
"BEL","Belgique","LREM64MA","Taux d'emploi, Agée de 15 à 64 ans, Hommes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q4","T4-2014","PC","Pourcentage","0","unité",,,66.07811,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2012-Q2","T2-2012","PC","Pourcentage","0","unité",,,61.75805,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2012-Q3","T3-2012","PC","Pourcentage","0","unité",,,62.0932,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2012-Q4","T4-2012","PC","Pourcentage","0","unité",,,61.75882,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q1","T1-2013","PC","Pourcentage","0","unité",,,61.52985,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q2","T2-2013","PC","Pourcentage","0","unité",,,61.90963,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q3","T3-2013","PC","Pourcentage","0","unité",,,62.28915,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q4","T4-2013","PC","Pourcentage","0","unité",,,61.45778,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q1","T1-2014","PC","Pourcentage","0","unité",,,61.77481,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q2","T2-2014","PC","Pourcentage","0","unité",,,61.79091,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q3","T3-2014","PC","Pourcentage","0","unité",,,61.97153,,
"BEL","Belgique","LREM64TT","Taux d'emploi, Agée de 15 à 64 ans, Ensemble des personnes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q4","T4-2014","PC","Pourcentage","0","unité",,,62.06924,,
"CAN","Canada","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2012-Q2","T2-2012","PC","Pourcentage","0","unité",,,69.16666,,
"CAN","Canada","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2012-Q3","T3-2012","PC","Pourcentage","0","unité",,,69.3,,
"CAN","Canada","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2012-Q4","T4-2012","PC","Pourcentage","0","unité",,,69.7,,
"CAN","Canada","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q1","T1-2013","PC","Pourcentage","0","unité",,,69.76667,,
"CAN","Canada","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q2","T2-2013","PC","Pourcentage","0","unité",,,69.66666,,
"CAN","Canada","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q3","T3-2013","PC","Pourcentage","0","unité",,,69.66666,,
"CAN","Canada","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q4","T4-2013","PC","Pourcentage","0","unité",,,69.5,,
"CAN","Canada","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q1","T1-2014","PC","Pourcentage","0","unité",,,69.43333,,
"CAN","Canada","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q2","T2-2014","PC","Pourcentage","0","unité",,,69.4,,
"CAN","Canada","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q3","T3-2014","PC","Pourcentage","0","unité",,,69.3,,
"CAN","Canada","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q4","T4-2014","PC","Pourcentage","0","unité",,,69.36667,,
