"Nom / Raison sociale","Commune","Code postal","Paiements directs aux agriculteurs (Feaga)","Autres paiements Feaga","Paiements Feader (hors pr�ts bonifi�s)","Paiements pr�ts bonifi�s (Feader)","Montant total"
"E.R LA MAISON DU CHAMPAGNE","MAREIL EN FRANCE",95850,0,1234706.27,0,0,1234706.27
"ERCANE","SAINT CLOTILDE",97490,17690.37,0,842953.04,0,860643.41
"EURL DE BELLEVUE","BAILLIF",97123,579584.37,0,32814.07,0,612398.44
"EXPLOITATION DE BANANES DU GALION SARL","TRINITE",97220,1123470.96,0,0,0,1123470.96
"EYMA SARL","BASSE POINTE",97218,1572628.49,0,0,0,1572628.49
"FDGDON","SAINT PAUL",97460,0,0,1219428.25,0,1219428.25
"FECULERIE HAUSSIMONT","HAUSSIMONT",51320,0,1202893.16,0,0,1202893.16
"FEDERATION FRANCAISE BANQUES ALIMENTAIRE","GENTILLY",94257,0,30364115.12,0,0,30364115.12
"FEDERATION GIRONDINE DE DFCI","BORDEAUX",33000,0,0,680528.37,0,680528.37
"FEDERATION INTERPRO DES VINS LANGUEDOC RO","NARBONNE",11100,0,706915.95,0,0,706915.95
"FERMES FRANCAISES SAS","PORT SAINT LOUIS DU RHONE",13230,721902.31,0,0,0,721902.31
"FOMA HACKAERT SARL","BASSE POINTE",97218,755032.43,0,0,0,755032.43
"FRANCE LUZERNE UCAD (FRALUZ)","CHALONS CHAMPAGNE CEDEX",51008,0,13647166.36,0,0,13647166.36
"FRANCE NORD FRUITS ET LEGUMES","BOURSIES",62147,0,995771.13,0,0,995771.13
"FRANCEP GARNIER","SAINT VIANCE",19240,0,0,596774.84,0,596774.84
"GAEC DE LA CREQUOISE","CREQUY",62310,97902.65,0,780393.38,0,878296.03
"GARDEL SA","MOULE",97160,142258.72,11620895.68,1796039.24,0,13559193.64
"GDS REUNION","PLAINE DES CAFRES",97418,0,0,648337.8,0,648337.8
